Full_Date,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Weekday,IsWeekend,AQI_Category,PM2.5_PM10_Ratio,NO2_SO2_Ratio
2021-02-28,1,7,98.08,239.96,35.06,5.51,0.75,50.07,235,Sunday,1,Poor,0.40873477209806747,6.3629648585029805
2021-03-01,0,1,97.62,247.38,32.72,5.71,0.72,43.21,187,Monday,0,Moderate,0.3946155552342326,5.7302876877623685
2021-03-02,0,2,100.87,272.73,27.87,8.86,0.53,58.17,227,Tuesday,0,Poor,0.36985295457584594,3.145594643798371
2021-03-03,0,3,131.63,264.11,36.28,10.91,1.0,37.3,259,Wednesday,0,Poor,0.49839080313540557,3.325386502853801
2021-03-04,0,4,157.94,343.04,40.72,7.16,1.96,41.65,276,Thursday,0,Poor,0.46041276642919876,5.687142895051823
2021-03-05,0,5,139.43,309.98,34.06,4.88,1.05,43.07,290,Friday,0,Poor,0.4498031985998065,6.979493894479726
2021-03-06,0,6,121.86,257.23,32.67,6.38,0.87,42.58,257,Saturday,1,Poor,0.4737394365455259,5.12068162902566
2021-03-07,1,7,154.41,300.45,38.21,7.92,2.38,50.3,270,Sunday,1,Poor,0.5139290892351777,4.824488857968614
2021-03-08,0,1,110.05,233.19,43.89,4.32,1.46,42.61,227,Monday,0,Poor,0.4719327384565059,10.159698704401148
2021-03-09,0,2,157.38,323.11,38.29,3.27,1.52,32.2,297,Tuesday,0,Poor,0.48707868877228533,11.709444313625951
2021-03-10,0,3,91.85,192.7,39.4,3.58,0.74,26.03,205,Wednesday,0,Poor,0.4766476140815976,11.005555850402652
2021-03-11,1,4,121.57,233.44,56.27,4.22,1.7,31.05,262,Thursday,0,Poor,0.5207761942779218,13.334091625375297
2021-03-12,0,5,85.57,207.14,50.96,4.43,1.16,25.73,203,Friday,0,Poor,0.4131022297430612,11.503360037561993
2021-03-13,0,6,138.97,245.6,42.87,4.24,1.23,26.71,236,Saturday,1,Poor,0.5658387391759471,10.1108252103179
2021-03-14,1,7,132.36,253.72,39.84,4.11,0.74,30.27,251,Sunday,1,Poor,0.5216774191361573,9.693407072002259
2021-03-15,0,1,126.93,265.71,40.58,3.79,0.86,28.14,219,Monday,0,Poor,0.47770123526772673,10.707095759641794
2021-03-16,0,2,146.41,391.08,39.3,3.5,0.86,20.61,277,Tuesday,0,Poor,0.3743735201397791,11.228539347030436
2021-03-17,0,3,138.5,358.46,40.96,4.95,0.78,20.82,352,Wednesday,0,Very Poor,0.38637503804120304,8.27473075811968
2021-03-18,0,4,152.31,380.31,41.81,4.93,1.03,20.78,313,Thursday,0,Very Poor,0.4004890641716215,8.480713020866085
2021-03-19,0,5,114.38,311.33,42.18,4.77,0.76,27.42,298,Friday,0,Poor,0.3673915020270613,8.842748757340132
2021-03-20,0,6,145.03,284.59,54.15,5.57,1.04,17.7,264,Saturday,1,Poor,0.5096102986889808,9.721706065159667
2021-03-21,1,7,186.0,404.45,16.67,17.52,0.92,24.98,316,Sunday,1,Very Poor,0.4598837814344473,0.951483475180665
2021-03-22,0,1,85.87,328.0,13.09,8.61,0.73,18.14,283,Monday,0,Poor,0.26179877250613504,1.520323437487297
2021-03-23,0,2,75.4,281.04,105.4,6.32,1.75,17.33,232,Tuesday,0,Poor,0.2682892019538428,16.677188801916454
2021-03-24,0,3,90.99,181.2,69.97,6.43,0.88,37.66,177,Wednesday,0,Moderate,0.5021522901681958,10.88178712008224
2021-03-25,0,4,83.85,208.21,8.58,8.25,0.53,19.28,194,Thursday,0,Moderate,0.4027183899563714,1.0399987393954675
2021-03-26,0,5,110.6,228.02,12.28,14.86,0.7,22.46,221,Friday,0,Poor,0.48504515020414213,0.8263789862860119
2021-03-27,0,6,166.83,307.27,13.77,23.44,0.85,27.62,268,Saturday,1,Poor,0.5429426711705448,0.5874570872623347
2021-03-28,1,7,181.38,336.8,15.77,19.59,0.85,29.59,268,Sunday,1,Poor,0.5385391764091694,0.8050021413975796
2021-03-29,1,1,111.31,356.5,66.61,7.14,1.56,37.62,215,Monday,0,Poor,0.31223000526704053,9.329118586668647
2021-03-30,0,2,71.45,378.18,4.43,8.69,0.57,40.79,248,Tuesday,0,Poor,0.18893119178879922,0.5097807712534278
2021-03-31,0,3,67.01,293.43,40.76,16.02,0.49,58.43,152,Wednesday,0,Moderate,0.2283679164240904,2.544318012285885
2021-04-01,0,4,62.95,278.87,40.55,28.06,0.88,62.68,231,Thursday,0,Poor,0.22573241202953306,1.445117090122206
2021-04-02,1,5,85.17,218.59,58.47,31.37,1.23,45.1,197,Friday,0,Moderate,0.38963354272228634,1.8638820963079068
2021-04-03,0,6,69.14,189.48,69.28,17.71,1.4,43.44,159,Saturday,1,Moderate,0.3648933731848547,3.9119119639119346
2021-04-04,1,7,94.37,250.37,78.08,28.72,1.66,35.48,198,Sunday,1,Moderate,0.376922140155684,2.718662006036906
2021-04-05,0,1,76.91,230.03,79.56,20.31,1.81,54.96,188,Monday,0,Moderate,0.3343476792441125,3.9172801982864613
2021-04-06,0,2,172.48,455.72,18.73,17.63,1.18,47.63,377,Tuesday,0,Very Poor,0.3784780045098305,1.0623930445870424
2021-04-07,0,3,78.51,293.92,9.0,9.48,0.57,39.89,304,Wednesday,0,Very Poor,0.2671134911842171,0.9493660871665747
2021-04-08,0,4,72.39,179.66,54.12,9.76,1.4,50.08,152,Thursday,0,Moderate,0.40292772999400367,5.5450762857824945
2021-04-09,0,5,62.75,170.91,55.34,15.53,1.36,55.41,157,Friday,0,Moderate,0.3671522808991703,3.5634233332753813
2021-04-10,0,6,89.09,241.68,67.94,25.88,1.65,41.17,189,Saturday,1,Moderate,0.368627922516223,2.625192185010748
2021-04-11,1,7,83.4,223.02,64.4,20.13,1.65,42.99,181,Sunday,1,Moderate,0.3739574758336707,3.199203577146758
2021-04-12,0,1,116.89,295.56,79.81,22.39,1.79,39.73,226,Monday,0,Poor,0.3954865206561605,3.564536148041024
2021-04-13,0,2,119.0,314.03,74.66,26.81,1.78,39.16,279,Tuesday,0,Poor,0.378944674746213,2.784780759126908
2021-04-14,1,3,73.31,234.69,56.01,18.07,1.41,42.58,214,Wednesday,0,Poor,0.3123694954037456,3.0996109022629206
2021-04-15,0,4,97.54,286.71,60.28,22.82,1.58,42.53,235,Thursday,0,Poor,0.3402043758430339,2.641541349017814
2021-04-16,0,5,132.11,323.16,71.69,19.4,1.69,43.17,232,Friday,0,Poor,0.4088067703674103,3.6953589199180827
2021-04-17,0,6,51.27,130.61,42.83,2.59,1.23,27.52,142,Saturday,1,Moderate,0.3925426542728233,16.536615688742515
2021-04-18,1,7,87.02,197.75,49.58,6.28,1.57,35.45,161,Sunday,1,Moderate,0.44005054664725424,7.894891887114829
2021-04-19,0,1,99.27,260.87,54.65,9.73,1.51,38.11,212,Monday,0,Poor,0.38053435118893125,5.616643765011546
2021-04-20,0,2,70.73,204.81,45.32,17.39,1.3,58.95,178,Tuesday,0,Moderate,0.3453444487405669,2.6060939585428646
2021-04-21,0,3,56.54,128.35,31.87,4.41,1.2,44.01,132,Wednesday,0,Moderate,0.44051418461128283,7.226740982446753
2021-04-22,0,4,53.53,129.73,40.15,5.22,1.38,62.0,152,Thursday,0,Moderate,0.4126261918888313,7.691556146444165
2021-04-23,0,5,43.49,106.79,40.0,4.76,1.29,57.59,112,Friday,0,Moderate,0.4072478315153262,8.403343690454433
2021-04-24,0,6,57.98,117.01,41.59,6.82,1.29,56.1,96,Saturday,1,Satisfactory,0.49551316165172526,6.098231527519755
2021-04-25,1,7,104.76,189.19,48.65,16.52,1.69,60.4,217,Sunday,1,Poor,0.5537290261784964,2.944913471602015
2021-04-26,0,1,202.91,341.63,73.25,34.42,2.53,51.0,288,Monday,0,Poor,0.5939466500615681,2.1281225659144196
2021-04-27,0,2,206.86,365.74,77.02,23.55,2.75,51.18,295,Tuesday,0,Poor,0.56559302877473,3.270486933975824
2021-04-28,0,3,237.88,432.09,80.54,28.81,2.82,43.01,321,Wednesday,0,Very Poor,0.5505334409374566,2.795556127887495
2021-04-29,0,4,215.39,406.98,58.3,25.24,2.21,60.72,303,Thursday,0,Very Poor,0.5292397530777986,2.309824758389557
2021-04-30,0,5,187.38,445.59,11.65,23.63,0.77,35.28,346,Friday,0,Very Poor,0.42052109740970184,0.4930171421848743
2021-05-01,0,6,75.01,238.18,46.08,10.7,1.34,69.86,214,Saturday,1,Poor,0.3149298717386064,4.3065380312728685
2021-05-02,1,7,83.06,226.18,47.95,11.67,0.69,41.76,193,Sunday,1,Moderate,0.36722962387348024,4.108822528858159
2021-05-03,0,1,105.77,294.37,39.74,11.49,0.72,27.37,258,Monday,0,Poor,0.359309700060818,3.458656693945436
2021-05-04,0,2,79.05,188.93,41.41,9.68,0.63,22.98,163,Tuesday,0,Moderate,0.4184089123797749,4.277888142677538
2021-05-05,0,3,69.61,170.36,38.87,5.29,0.86,59.57,151,Wednesday,0,Moderate,0.4086052824251419,7.347812196952368
2021-05-06,0,4,54.81,163.54,36.33,4.5,0.62,47.71,128,Thursday,0,Moderate,0.3351473440658344,8.07331539263246
2021-05-07,0,5,52.47,100.82,42.37,4.33,0.59,42.39,110,Friday,0,Moderate,0.5204324022582422,9.785196800931176
2021-05-08,0,6,99.07,257.6,56.43,4.48,0.88,37.87,167,Saturday,1,Moderate,0.3845884943870926,12.595954026888332
2021-05-09,1,7,59.8,135.69,42.85,4.63,0.68,53.07,195,Sunday,1,Moderate,0.44071041044215414,9.254839622376627
2021-05-10,0,1,51.08,94.49,58.1,4.82,0.81,45.97,88,Monday,0,Satisfactory,0.5405862482181979,12.053916900587344
2021-05-11,0,2,57.75,120.48,44.78,5.09,0.46,56.12,111,Tuesday,0,Moderate,0.4793326295374643,8.797625152013454
2021-05-12,0,3,43.88,141.98,40.29,5.94,0.44,45.14,114,Wednesday,0,Moderate,0.3090575919807303,6.7828168639446735
2021-05-13,0,4,46.61,83.62,35.88,5.15,0.61,54.08,105,Thursday,0,Moderate,0.5574024686196521,6.966976763151917
2021-05-14,1,5,61.6,120.48,41.78,5.21,0.75,52.06,130,Friday,0,Moderate,0.5112881381732953,8.019178466068205
2021-05-15,0,6,48.99,159.97,41.5,5.51,0.48,38.87,128,Saturday,1,Moderate,0.30624490177877717,7.531746766339808
2021-05-16,1,7,69.96,131.21,51.09,6.72,0.91,50.72,177,Sunday,1,Moderate,0.5331910271175194,7.60266725793563
2021-05-17,0,1,99.12,211.16,77.57,6.99,1.5,19.69,203,Monday,0,Poor,0.46940706244520447,11.09726595527045
2021-05-18,0,2,30.87,64.67,39.29,5.45,0.44,32.34,92,Tuesday,0,Satisfactory,0.47734645471679993,7.209161084108103
2021-05-19,0,3,38.92,42.26,29.65,5.05,0.48,41.58,72,Wednesday,0,Satisfactory,0.9209652340356759,5.871275502424748
2021-05-20,0,4,58.5,43.06,27.87,5.22,0.41,43.84,48,Thursday,0,Good,1.3585691224874308,5.3390702316662235
2021-05-21,0,5,41.1,79.41,48.59,5.34,0.6,52.13,59,Friday,0,Satisfactory,0.5175669918691611,9.099233896565739
2021-05-22,0,6,41.11,61.27,37.99,5.52,0.62,52.32,70,Saturday,1,Satisfactory,0.6709644734838462,6.882233908996543
2021-05-23,1,7,157.53,474.62,35.79,5.42,0.41,44.67,297,Sunday,1,Poor,0.3319076243751291,6.603308849983672
2021-05-24,0,1,61.78,137.99,34.39,5.75,0.35,56.43,134,Monday,0,Moderate,0.4477135699895956,5.980859163723194
2021-05-25,0,2,51.73,124.95,42.21,6.34,0.36,65.92,122,Tuesday,0,Moderate,0.4140055691071973,6.65771820549179
2021-05-26,1,3,65.16,149.77,50.38,6.57,0.67,49.01,137,Wednesday,0,Moderate,0.4350670738420862,7.668177065179505
2021-05-27,0,4,66.99,154.61,64.92,5.8,1.12,41.62,140,Thursday,0,Moderate,0.4332837181758153,11.193084149854915
2021-05-28,0,5,36.43,85.77,37.42,4.95,0.74,61.64,95,Friday,0,Satisfactory,0.4247405357653567,7.559580687715783
2021-05-29,0,6,27.2,80.39,30.89,5.49,0.54,55.57,76,Saturday,1,Satisfactory,0.33835049902344827,5.626583558135596
2021-05-30,1,7,28.44,138.19,32.34,5.37,0.53,53.79,102,Sunday,1,Moderate,0.2058035888411905,6.022335153938262
2021-05-31,0,1,44.64,125.09,64.13,5.12,0.93,24.98,113,Monday,0,Moderate,0.3568630300693077,12.525366161394215
2021-06-01,0,2,44.7,108.78,30.79,5.15,0.5,66.73,107,Tuesday,0,Moderate,0.4109210874314132,5.978629167710354
2021-06-02,0,3,61.13,124.94,39.91,5.03,0.77,28.9,132,Wednesday,0,Moderate,0.4892748127681437,7.934377864059912
2021-06-03,0,4,75.96,144.07,39.25,5.17,0.85,66.52,118,Thursday,0,Moderate,0.5272436643823374,7.591861524445795
2021-06-04,0,5,96.17,183.07,43.35,5.0,1.0,68.98,216,Friday,0,Poor,0.5253181556061531,8.66998266003468
2021-06-05,0,6,47.42,139.41,49.1,6.32,0.66,39.25,104,Saturday,1,Moderate,0.34014774118443863,7.768975049090113
2021-06-06,1,7,56.79,205.74,41.7,7.0,0.59,25.73,181,Sunday,1,Moderate,0.2760279830840875,5.957134346950934
2021-06-07,0,1,73.07,192.02,49.94,7.69,0.88,30.31,158,Monday,0,Moderate,0.3805332579661879,6.494139799558128
2021-06-08,0,2,96.43,384.33,47.65,7.84,0.8,15.49,194,Tuesday,0,Moderate,0.2509041643664517,6.07779837015514
2021-06-09,0,3,75.25,350.71,42.75,6.91,0.55,23.66,348,Wednesday,0,Very Poor,0.21456473398064688,6.186677009150493
2021-06-10,0,4,62.83,219.08,41.92,7.56,0.9,38.08,218,Thursday,0,Poor,0.2867902005299342,5.544966210362157
2021-06-11,0,5,50.98,134.62,52.56,7.44,0.64,48.9,127,Friday,0,Moderate,0.37869555944914873,7.064506633727643
2021-06-12,0,6,37.69,95.55,85.93,9.98,0.66,27.65,114,Saturday,1,Moderate,0.394453124599359,8.610211813415017
2021-06-13,1,7,38.56,73.37,69.08,8.53,0.65,29.04,97,Sunday,1,Satisfactory,0.5255553324853028,8.098466473075648
2021-06-14,0,1,44.43,100.54,66.48,8.66,0.71,34.16,88,Monday,0,Satisfactory,0.44191362224849584,7.6766655003862585
2021-06-15,0,2,36.99,119.58,65.44,9.02,0.51,29.73,97,Tuesday,0,Satisfactory,0.3093326384568792,7.254980870309457
2021-06-16,0,3,41.19,92.69,51.18,8.11,0.78,39.87,123,Wednesday,0,Moderate,0.4443844595550265,6.310719715512065
2021-06-17,0,4,49.51,84.06,43.13,7.09,0.95,48.44,85,Thursday,0,Satisfactory,0.5889839889383786,6.083207216915069
2021-06-18,0,5,35.59,58.46,43.56,7.31,0.63,50.58,70,Friday,0,Satisfactory,0.608792232502184,5.958952176536011
2021-06-19,0,6,37.02,58.77,48.51,7.89,0.52,27.99,63,Saturday,1,Satisfactory,0.6299131138483727,6.148281180885703
2021-06-20,1,7,27.82,34.46,44.46,8.03,0.42,30.84,54,Sunday,1,Satisfactory,0.8073125921901937,5.53673034031091
2021-06-21,0,1,31.18,67.07,44.71,7.21,0.74,44.43,55,Monday,0,Satisfactory,0.4648873617284387,6.201100969346784
2021-06-22,0,2,51.51,159.71,38.19,8.02,0.67,38.95,108,Tuesday,0,Moderate,0.3225220510599179,4.761839449077994
2021-06-23,0,3,95.84,285.92,50.92,8.78,0.8,33.85,236,Wednesday,0,Poor,0.33519864524347215,5.799537813738254
2021-06-24,0,4,56.41,152.56,42.0,8.26,0.84,55.86,129,Thursday,0,Moderate,0.36975613727345713,5.084739606852777
2021-06-25,0,5,65.38,226.41,41.52,8.51,0.61,39.63,182,Friday,0,Moderate,0.2887681511961419,4.878960189235971
2021-06-26,0,6,46.95,158.6,48.7,10.45,0.84,26.44,138,Saturday,1,Moderate,0.2960277240840023,4.6602826217391184
2021-06-27,1,7,72.04,166.74,47.39,9.44,1.02,54.78,150,Sunday,1,Moderate,0.43204987213326906,5.020121800718432
2021-06-28,0,1,63.33,149.28,41.92,9.49,0.89,54.9,136,Monday,0,Moderate,0.4242363059863139,4.41727669412361
2021-06-29,0,2,77.96,237.98,47.58,9.92,0.92,40.47,196,Tuesday,0,Moderate,0.3275905400625876,4.7963661326954306
2021-06-30,0,3,87.86,415.77,44.54,7.87,0.56,21.44,215,Wednesday,0,Poor,0.2113187528845575,5.6594591366465865
2021-07-01,0,4,56.77,289.39,34.89,7.66,0.47,21.55,302,Thursday,0,Very Poor,0.1961712500027213,4.554824340960391
2021-07-02,0,5,64.92,291.96,35.87,7.4,0.62,31.75,280,Friday,0,Poor,0.22235921967532477,4.847290746904395
2021-07-03,0,6,39.55,136.24,36.65,6.61,0.59,46.81,140,Saturday,1,Moderate,0.29029651421781305,5.54462096123909
2021-07-04,1,7,67.12,164.01,51.56,7.19,0.92,47.31,126,Sunday,1,Moderate,0.4092433138684645,7.171060958190601
2021-07-05,0,1,66.23,223.87,33.63,7.18,0.49,38.63,151,Monday,0,Moderate,0.2958413232750559,4.683837487691522
2021-07-06,0,2,51.65,250.51,30.24,7.64,0.46,49.21,239,Tuesday,0,Poor,0.20617938580578077,3.958110002473819
2021-07-07,0,3,66.85,223.86,36.65,8.32,0.57,43.92,179,Wednesday,0,Moderate,0.2986241267477831,4.405042782400502
2021-07-08,0,4,53.3,238.31,31.66,9.54,0.33,25.64,196,Thursday,0,Moderate,0.22365825086407407,3.3186548022486355
2021-07-09,0,5,40.09,95.93,36.45,7.87,0.72,33.01,133,Friday,0,Moderate,0.4179088483364069,4.631506186142077
2021-07-10,0,6,31.78,72.43,32.48,7.86,0.71,16.44,82,Saturday,1,Satisfactory,0.4387684055269355,4.132310264236304
2021-07-11,1,7,38.91,88.44,29.15,7.62,0.67,23.58,79,Sunday,1,Satisfactory,0.4399592446902708,3.8254542973040717
2021-07-12,0,1,34.46,72.26,33.47,7.23,0.61,31.73,77,Monday,0,Satisfactory,0.47688894590521086,4.629315865399909
2021-07-13,0,2,29.09,44.2,33.56,7.46,0.56,21.52,59,Tuesday,0,Satisfactory,0.6581446474785865,4.498653487059669
2021-07-14,0,3,40.07,103.57,36.41,7.42,0.74,25.88,75,Wednesday,0,Satisfactory,0.3868880576529828,4.907001473043836
2021-07-15,0,4,38.79,53.48,31.25,7.92,0.63,25.04,65,Thursday,0,Satisfactory,0.7253177402173261,3.945702088759989
2021-07-16,0,5,44.13,83.13,35.36,8.81,0.66,19.68,70,Friday,0,Satisfactory,0.5308552230415947,4.01361632960689
2021-07-17,0,6,54.56,117.34,42.77,9.35,0.72,15.47,92,Saturday,1,Satisfactory,0.46497354142035613,4.574326658474162
2021-07-18,1,7,34.43,71.7,41.59,8.63,0.71,16.82,92,Sunday,1,Satisfactory,0.4801951910466958,4.819229641680601
2021-07-19,0,1,38.03,15.72,28.7,8.94,0.41,22.44,41,Monday,0,Good,2.4192096569913124,3.2102872368151716
2021-07-20,0,2,40.13,64.37,7.66,2.88,0.56,14.86,77,Tuesday,0,Satisfactory,0.6234269654455545,2.659712987107684
2021-07-21,1,3,40.55,75.73,41.05,8.58,1.27,40.19,65,Wednesday,0,Satisfactory,0.535454834879858,4.784376708185655
2021-07-22,0,4,29.84,43.57,23.74,7.65,0.56,58.83,58,Thursday,0,Satisfactory,0.6848747567420801,3.1032639173020686
2021-07-23,0,5,36.58,72.89,31.29,7.12,0.76,81.23,75,Friday,0,Satisfactory,0.5018520370624177,4.394656749077599
2021-07-24,0,6,49.88,90.47,26.76,6.55,0.94,79.73,94,Saturday,1,Satisfactory,0.5513429256833287,4.085489945816877
2021-07-25,1,7,59.63,78.24,33.41,5.91,0.64,115.87,213,Sunday,1,Poor,0.762142029378575,5.6531207222999615
2021-07-26,0,1,47.02,79.43,26.14,5.57,0.69,106.1,130,Monday,0,Moderate,0.5919676958368757,4.692989779192497
2021-07-27,0,2,42.01,54.57,21.44,7.0,0.68,29.48,90,Tuesday,0,Satisfactory,0.7698367656520495,3.06285276735319
